,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Origin,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,Estimated Average Ridership - Destination,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
231 St (1),1466.142857142857,3942.5714285714284,8465.857142857143,7540.571428571428,7038.857142857143,4758.285714285715,3179.1428571428573,2133.4285714285716,6737.428571428572,2663.4285714285716,13280.42857142857,4924.857142857143,low ridership
"233 St (2,5)",651.8571428571429,2907.1428571428573,2934.1428571428573,2888.285714285714,2726.1428571428573,1705.5714285714287,1167.2857142857142,1044.142857142857,2730.1428571428573,1180.4285714285713,5216.142857142857,1768.7142857142858,low ridership
238 St (1),740.1428571428571,2213.0,4120.857142857143,4468.571428571428,2989.4285714285716,2686.285714285714,1767.857142857143,929.2857142857142,3088.0,1009.1428571428571,7413.285714285715,2565.8571428571427,low ridership
25 Av (D),545.5714285714286,2533.4285714285716,4233.428571428572,5055.285714285714,2637.5714285714284,2965.285714285714,1585.142857142857,880.5714285714286,2960.0,1216.142857142857,7658.857142857143,2867.1428571428573,low ridership
25 St (R),841.1428571428571,1067.7142857142858,3822.285714285714,2809.857142857143,4516.0,2715.0,1652.5714285714284,1523.0,3047.857142857143,1814.2857142857142,5039.285714285715,2714.285714285714,low ridership
28 St (1),6365.857142857143,1849.142857142857,14423.285714285714,3687.0,20799.714285714286,9889.57142857143,4339.571428571428,3646.285714285714,16679.571428571428,9755.57142857143,14530.142857142857,10618.714285714286,low ridership
28 St (6),9301.0,3247.5714285714284,18771.714285714286,7816.142857142857,33095.142857142855,12968.42857142857,5250.0,8100.571428571428,22233.85714285714,16600.714285714286,20413.714285714286,13386.714285714286,low ridership
"28 St (R,W)",7373.0,2231.1428571428573,11363.57142857143,2643.714285714286,20130.428571428572,11824.0,3854.8571428571427,3348.857142857143,15884.857142857143,9044.57142857143,14388.714285714286,12439.571428571428,low ridership
3 Av (L),6159.857142857143,1809.142857142857,4900.857142857143,1260.857142857143,10834.285714285714,6989.571428571428,2588.8571428571427,1942.857142857143,8062.0,4138.285714285715,9766.0,7368.285714285715,low ridership
3 Av-138 St (6),1432.0,3491.857142857143,7334.571428571428,6008.714285714286,7332.857142857143,4857.142857142857,2909.5714285714284,2868.0,5379.857142857143,3170.714285714286,9656.57142857143,4311.428571428572,low ridership
"3 Av-149 St (2,5)",3428.714285714286,7347.857142857143,18647.285714285714,11431.42857142857,18248.714285714286,10528.0,6064.285714285715,5359.714285714286,15349.857142857143,8657.857142857143,21233.0,9833.714285714286,low ridership
"30 Av (N,W)",2401.8571428571427,4188.0,15918.428571428572,14057.142857142857,11910.142857142857,8771.857142857143,8158.571428571428,3131.0,9215.57142857143,3026.4285714285716,23717.142857142855,9323.285714285714,low ridership
33 St (6),10958.142857142857,3508.8571428571427,27471.14285714286,10690.428571428572,45044.42857142857,16881.714285714286,6996.428571428572,9518.57142857143,30607.428571428572,21978.428571428572,27844.0,17203.714285714286,low ridership
33 St-Rawson St (7),2937.571428571429,947.2857142857143,9851.857142857143,1150.2857142857142,14494.0,1967.7142857142858,927.8571428571428,4479.428571428572,9459.285714285714,11383.142857142857,5780.142857142857,2216.1428571428573,low ridership
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",56928.0,21109.0,91961.42857142858,33658.71428571428,169436.85714285716,85126.71428571429,25340.428571428572,27958.571428571428,124517.42857142858,76048.42857142858,125202.71428571429,86858.14285714286,high ridership
34 St-Hudson Yards (7),12744.857142857143,3890.714285714286,19554.428571428572,5133.428571428572,52756.0,16191.142857142857,5015.857142857143,11877.428571428572,32225.714285714286,25130.285714285714,21429.571428571428,17307.428571428572,low ridership
"34 St-Penn Station (1,2,3)",28734.571428571428,22503.285714285714,67506.57142857143,54863.0,73470.28571428571,52344.57142857143,17609.285714285714,16121.142857142857,64881.28571428572,30369.857142857145,107453.85714285714,47099.0,high ridership
"34 St-Penn Station (A,C,E)",33919.42857142857,21178.14285714286,79071.85714285714,48610.42857142857,98325.71428571429,63815.71428571429,21462.714285714286,21802.428571428572,75830.0,42359.857142857145,108093.71428571429,56858.57142857143,high ridership
"36 Av (N,W)",1526.857142857143,1887.5714285714287,7598.142857142857,5569.857142857143,7298.285714285715,4277.571428571428,3460.4285714285716,1818.7142857142858,5284.0,2784.4285714285716,10362.57142857143,4621.571428571428,low ridership
"36 St (D,N,R)",3880.8571428571427,4836.428571428572,14422.285714285714,8495.857142857143,22866.285714285714,12347.714285714286,5668.571428571428,6149.142857142857,14209.142857142857,11380.571428571428,18243.714285714286,11888.142857142857,low ridership
"36 St (M,R)",936.5714285714286,715.0,3801.8571428571427,1461.857142857143,5742.857142857143,2355.8571428571427,1201.7142857142858,1413.4285714285716,3846.857142857143,3267.1428571428573,3657.285714285714,2262.0,low ridership
"39 Av-Dutch Kills (N,W)",825.2857142857143,793.2857142857142,4565.571428571428,2445.0,4956.0,3179.714285714286,2066.285714285714,1560.857142857143,2989.857142857143,2002.0,4925.857142857143,3645.285714285714,low ridership
"4 Av (F,G)/9 St (R)",4202.857142857143,2365.285714285714,12866.714285714286,8944.714285714286,16275.57142857143,10469.714285714286,5224.428571428572,3931.5714285714284,11324.857142857143,6680.0,18768.14285714286,10563.857142857143,low ridership
40 St-Lowery St (7),2041.142857142857,2980.857142857143,11724.42857142857,8378.57142857143,9642.714285714286,5458.571428571428,5103.428571428572,2536.714285714286,7452.571428571428,4292.285714285715,15408.285714285714,6196.142857142857,low ridership
45 St (R),1445.857142857143,3697.2857142857147,8043.142857142857,7317.428571428572,7087.142857142857,5787.714285714286,3735.714285714286,2134.1428571428573,6116.428571428572,2601.857142857143,11805.42857142857,5516.428571428572,low ridership
"46 St (M,R)",1311.5714285714287,2711.714285714286,8244.142857142857,7015.428571428572,5951.0,5109.428571428572,4020.714285714286,1884.5714285714284,5066.0,1950.5714285714287,12525.42857142857,5188.285714285715,low ridership
46 St-Bliss St (7),2618.857142857143,4679.0,14576.285714285714,11042.285714285714,11466.42857142857,7488.142857142857,6980.142857142857,3646.4285714285716,9478.714285714286,4088.142857142857,20143.85714285714,8472.57142857143,low ridership
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",22835.285714285714,6605.0,35672.71428571429,3228.714285714286,126013.42857142858,26537.0,7401.428571428572,20812.714285714286,75085.71428571429,68947.71428571429,33185.57142857143,28913.14285714286,high ridership
"49 St (N,R,W)",18433.428571428572,4318.857142857142,22140.285714285714,4694.857142857143,44392.0,24045.571428571428,7796.571428571428,8706.0,29046.85714285714,22280.0,28309.285714285714,24361.85714285714,low ridership
"5 Av/53 St (E,M)",6352.142857142857,1157.857142857143,15671.714285714286,1020.5714285714287,56566.857142857145,9739.714285714286,2180.0,10086.0,29617.857142857145,32798.71428571429,11680.857142857143,10850.57142857143,low ridership
"5 Av/59 St (N,R,W)",6922.285714285715,1160.0,12601.142857142857,1327.857142857143,33615.71428571428,13889.857142857143,2300.8571428571427,6697.142857142857,23157.142857142855,16897.428571428572,10924.57142857143,13830.0,low ridership
50 St (1),13774.57142857143,3653.714285714286,16947.0,3908.4285714285716,36690.142857142855,16527.142857142855,5393.285714285714,6279.142857142857,24112.428571428572,18945.0,21277.714285714286,17138.571428571428,low ridership
"50 St (C,E)",14054.42857142857,4413.0,22137.0,6935.142857142857,32098.14285714286,21872.0,8305.57142857143,7105.285714285714,22878.0,15466.0,27523.285714285714,22136.857142857145,low ridership
50 St (D),912.5714285714286,929.4285714285714,3573.4285714285716,2038.0,5021.285714285715,2025.7142857142858,926.0,1306.4285714285716,3431.857142857143,2771.4285714285716,3693.285714285714,1995.142857142857,low ridership
52 St (7),1151.4285714285713,2679.0,7711.428571428572,6501.142857142857,5356.857142857143,3805.5714285714284,3847.1428571428573,1337.2857142857142,4984.285714285715,1565.4285714285716,11246.42857142857,4422.285714285715,low ridership
53 St (R),1673.857142857143,4088.714285714286,8975.142857142857,7445.142857142857,8191.571428571428,5977.285714285715,4043.1428571428573,2795.8571428571427,6948.0,3038.714285714286,12255.714285714286,5760.857142857143,low ridership
55 St (D),495.1428571428571,589.8571428571429,1984.0,987.2857142857143,2847.5714285714284,1088.4285714285713,465.57142857142856,770.0,1825.2857142857142,1698.4285714285716,2024.857142857143,1083.7142857142858,low ridership
