,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
"Prospect Park (B,Q,S)",0.0,-0.03,0.01,0.0,-0.02,0.06,0.03,-0.02,-0.02,-0.03,0.01,0.06,residential
"Queens Plaza (E,M,R)",0.0,-0.06,0.0,-0.07,0.09,0.05,0.0,0.04,-0.02,0.07,-0.09,0.02,destination
"Queensboro Plaza (7,N,W)",0.02,-0.05,0.02,-0.06,0.09,0.0,0.01,0.03,-0.02,0.06,-0.07,0.01,residential
Ralph Av (C),0.0,0.0,0.02,0.02,-0.05,0.02,0.04,0.0,-0.03,-0.03,0.03,0.02,residential
Rector St (1),0.01,-0.07,0.01,-0.07,0.13,0.02,-0.01,-0.01,0.04,0.08,-0.09,0.02,destination
"Rector St (R,W)",0.01,-0.08,0.01,-0.1,0.18,-0.01,-0.03,0.0,0.07,0.11,-0.12,-0.01,destination
Rockaway Av (3),0.0,0.04,0.01,0.03,-0.03,-0.03,0.0,0.01,0.01,0.0,0.01,-0.02,residential
Rockaway Av (C),0.0,0.01,0.02,0.03,-0.04,0.0,0.03,0.0,-0.03,-0.03,0.04,0.01,residential
Rockaway Blvd (A),-0.01,0.08,-0.03,0.05,-0.06,-0.02,0.0,0.01,-0.02,-0.02,0.07,-0.02,residential
"Rockaway Park-Beach 116 St (A,S)",0.02,0.07,-0.05,-0.05,0.0,0.03,-0.02,0.05,0.04,-0.01,-0.05,0.02,destination
Roosevelt Island (F),0.01,-0.06,0.03,-0.01,0.01,0.04,0.02,-0.01,0.0,-0.03,-0.01,0.05,residential
Saratoga Av (3),-0.01,0.09,-0.01,0.05,-0.07,-0.04,0.01,-0.01,-0.02,-0.02,0.08,-0.03,residential
Seneca Av (M),-0.01,0.04,0.01,0.04,-0.07,0.01,0.04,-0.02,-0.03,-0.06,0.08,0.01,residential
"Sheepshead Bay (B,Q)",-0.01,0.01,0.0,0.06,-0.02,-0.04,-0.02,-0.02,0.01,0.0,0.07,-0.02,residential
Shepherd Av (C),-0.01,0.09,-0.01,0.05,-0.09,-0.02,0.01,0.0,-0.01,-0.02,0.06,-0.01,residential
"Simpson St (2,5)",0.0,0.04,0.03,-0.03,0.02,-0.02,0.0,0.03,0.01,0.02,-0.03,-0.02,residential
"Smith-9 Sts (F,G)",0.03,-0.05,-0.03,-0.07,0.13,0.02,-0.03,0.06,0.02,0.06,-0.1,0.01,destination
"South Ferry (1)/Whitehall St (R,W)",0.01,-0.05,-0.03,-0.08,0.16,0.01,-0.05,0.0,0.08,0.1,-0.12,0.01,destination
Spring St (6),0.07,-0.07,-0.06,-0.14,0.12,0.1,-0.05,-0.03,0.09,0.01,-0.1,0.09,destination
"Spring St (C,E)",0.06,-0.08,-0.05,-0.14,0.23,0.01,-0.06,0.0,0.12,0.09,-0.14,0.01,destination
St Lawrence Av (6),-0.01,0.1,0.0,0.03,-0.1,-0.01,0.04,0.01,-0.03,-0.04,0.05,0.0,residential
"Steinway St (M,R)",0.03,-0.03,-0.02,-0.02,0.02,0.05,0.01,0.0,-0.01,-0.01,0.0,0.03,residential
"Sterling St (2,5)",-0.01,-0.02,0.05,0.04,-0.03,0.0,0.03,-0.01,-0.03,-0.03,0.05,0.01,residential
Sutphin Blvd (F),-0.01,0.07,0.01,0.0,-0.06,0.0,0.01,0.0,0.0,-0.01,0.02,0.0,residential
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",0.02,0.03,-0.01,-0.03,0.01,0.0,-0.01,0.03,0.02,-0.01,-0.01,0.01,residential
Sutter Av (L),0.01,0.05,-0.01,0.01,0.0,-0.04,0.0,0.03,0.0,0.01,0.0,-0.02,residential
Sutter Av-Rutland Rd (3),0.0,0.07,0.01,0.04,-0.06,-0.04,0.01,0.0,0.0,-0.01,0.05,-0.02,residential
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",0.08,-0.02,-0.05,-0.07,0.05,0.03,-0.03,-0.01,0.04,0.04,-0.04,0.03,destination
"Tremont Av (B,D)",-0.01,0.07,-0.02,0.08,-0.05,-0.05,0.01,0.01,-0.02,-0.01,0.06,-0.03,residential
Union St (R),0.04,-0.06,-0.03,-0.03,0.07,0.03,-0.01,0.03,-0.01,0.01,-0.03,0.03,destination
"Utica Av (A,C)",0.0,-0.01,0.02,0.01,-0.03,0.02,0.03,0.0,-0.04,-0.02,0.03,0.02,residential
Van Cortlandt Park-242 St (1),-0.01,0.06,-0.02,0.06,-0.04,-0.03,-0.01,0.0,-0.02,-0.02,0.08,-0.02,residential
Van Siclen Av (3),0.0,0.08,0.0,0.06,-0.08,-0.03,0.01,0.0,-0.02,-0.02,0.07,-0.02,residential
Van Siclen Av (C),-0.01,0.07,-0.01,0.05,-0.07,0.0,0.01,0.0,-0.01,-0.02,0.05,0.0,residential
"Van Siclen Av (J,Z)",-0.01,0.06,0.0,0.04,-0.04,-0.02,0.01,0.02,-0.01,-0.03,0.04,-0.01,residential
Vernon Blvd-Jackson Av (7),0.02,-0.06,0.02,0.02,0.02,0.0,0.01,0.01,-0.03,-0.01,0.03,0.01,residential
"W 4 St-Wash Sq (A,C,E,B,D,F,M)",0.13,-0.03,-0.09,-0.13,0.08,0.06,-0.03,-0.01,0.04,0.02,-0.07,0.07,destination
"W 8 St-NY Aquarium (F,Q)",0.01,-0.04,-0.01,-0.06,0.06,0.05,-0.05,-0.02,0.12,0.01,-0.09,0.05,destination
WTC Cortlandt (1),0.0,-0.07,-0.02,-0.08,0.17,0.02,-0.04,-0.02,0.07,0.1,-0.11,0.02,destination
Wakefield-241 St (2),0.01,0.12,-0.04,0.0,-0.04,-0.03,0.0,0.05,-0.01,0.0,0.0,-0.02,residential
"Wall St (2,3)",0.03,-0.08,-0.07,-0.11,0.27,-0.02,-0.04,0.0,0.05,0.19,-0.16,-0.02,destination
"Wall St (4,5)",0.02,-0.07,-0.03,-0.1,0.22,-0.02,-0.04,0.01,0.07,0.16,-0.15,-0.03,destination
"West Farms Sq-E Tremont Av (2,5)",0.0,0.04,0.01,-0.03,0.01,0.0,0.0,0.02,0.03,0.02,-0.04,-0.01,residential
Westchester Sq-E Tremont Av (6),0.0,0.04,0.01,-0.05,0.06,-0.04,-0.03,0.04,0.03,0.07,-0.05,-0.03,residential
Whitlock Av (6),-0.01,0.08,-0.04,0.07,-0.05,-0.03,0.0,0.01,-0.01,0.0,0.04,-0.01,residential
Wilson Av (L),0.0,0.0,0.01,0.02,-0.04,0.03,0.06,0.0,-0.05,-0.04,0.03,0.03,residential
"Winthrop St (2,5)",-0.01,-0.03,0.02,0.0,0.07,-0.03,0.01,0.01,-0.02,0.06,-0.03,-0.02,residential
"Woodhaven Blvd (J,Z)",0.01,0.03,0.02,0.02,0.0,-0.06,0.0,0.02,0.01,-0.01,0.03,-0.03,residential
"Woodhaven Blvd (M,R)",0.0,0.02,0.0,0.02,-0.02,0.0,0.0,-0.01,0.01,-0.03,0.04,0.01,residential
Woodlawn (4),0.0,0.1,-0.05,0.02,-0.04,-0.01,-0.02,0.03,0.0,-0.02,0.03,-0.01,residential
York St (F),0.05,-0.08,-0.05,-0.11,0.13,0.07,-0.04,-0.01,0.07,0.04,-0.11,0.07,destination
Zerega Av (6),-0.02,0.07,-0.01,0.05,-0.04,-0.04,0.0,0.02,-0.01,0.0,0.04,-0.03,residential
