,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
191 St (1),0.0,0.02,0.02,0.01,-0.03,-0.01,0.03,-0.01,-0.01,-0.01,0.02,0.0,residential
2 Av (F),0.1,-0.04,-0.06,-0.09,0.04,0.07,-0.01,-0.01,0.01,0.0,-0.04,0.08,destination
20 Av (D),-0.01,0.04,0.0,0.06,-0.09,0.02,0.01,-0.03,-0.02,-0.04,0.09,0.01,residential
20 Av (N),-0.03,0.02,0.05,0.07,-0.09,-0.01,0.0,-0.02,-0.03,0.01,0.06,0.0,residential
207 St (1),0.01,0.01,0.0,-0.02,0.03,-0.01,0.0,0.04,0.02,0.0,-0.03,0.0,residential
21 St (G),0.04,-0.06,-0.09,-0.11,0.18,0.07,-0.03,0.05,0.0,0.08,-0.11,0.03,destination
21 St-Queensbridge (F),0.0,-0.02,0.02,-0.04,0.04,0.02,0.02,0.04,-0.01,0.02,-0.06,0.01,residential
215 St (1),0.01,-0.05,0.03,-0.01,0.06,-0.02,-0.02,0.02,0.05,0.04,-0.05,-0.01,residential
"219 St (2,5)",0.0,0.1,-0.05,0.06,-0.07,-0.03,0.01,-0.01,-0.01,-0.02,0.07,-0.02,residential
"225 St (2,5)",0.0,0.11,-0.05,0.05,-0.06,-0.03,0.0,0.0,0.0,-0.02,0.06,-0.02,residential
23 St (1),0.07,-0.07,-0.02,-0.12,0.11,0.05,-0.03,-0.02,0.07,0.05,-0.1,0.05,destination
23 St (6),0.05,-0.07,0.0,-0.1,0.16,-0.03,-0.05,0.01,0.1,0.09,-0.12,-0.02,destination
"23 St (C,E)",0.06,-0.07,-0.02,-0.1,0.15,0.0,-0.03,0.0,0.06,0.07,-0.09,0.01,destination
"23 St (F,M)",0.05,-0.07,-0.02,-0.1,0.17,-0.01,-0.05,-0.01,0.08,0.09,-0.09,0.0,destination
"23 St (R,W)",0.05,-0.08,-0.04,-0.14,0.17,0.05,-0.05,-0.02,0.1,0.07,-0.13,0.04,destination
231 St (1),-0.01,0.02,0.0,0.04,-0.02,-0.02,0.0,-0.01,0.0,-0.01,0.04,-0.01,residential
"233 St (2,5)",0.0,0.11,-0.04,0.02,-0.03,-0.04,-0.01,0.01,0.01,0.0,0.04,-0.03,residential
238 St (1),-0.01,0.03,-0.01,0.07,-0.06,0.0,0.01,-0.01,-0.02,-0.03,0.08,-0.01,residential
25 Av (D),-0.02,0.04,-0.01,0.09,-0.08,0.01,-0.01,-0.02,-0.03,-0.02,0.09,0.01,residential
25 St (R),0.0,-0.03,-0.01,-0.01,0.06,0.01,0.0,0.03,-0.01,0.02,-0.04,0.01,residential
28 St (1),0.06,-0.07,0.0,-0.13,0.13,0.01,-0.03,-0.01,0.08,0.07,-0.12,0.02,destination
